# Perseus Dynamic Lexicon — Greek-Latin pairs NOT in existing Tesserae dictionary
# Filtered: score >= 25, single-char words removed
# Sigma normalized (ς→σ), Latin u/v normalized (v→u)
# 3001 novel pairs (of 4187 total filtered)
# Format: greek,latin
ῥεῦμα,amnis
θοόσ,rapidus
διακόσιοι,centum
γνάθοσ,fauces
πέντε,quindecim
στάσισ,tumultus
Κρήσ,Cretensis
ἀρά,maledictio
ψέγω,culpa
ἐπιστολή,scribo
Βορέασ,boreas
γλῶσσα,oratio
ἐπιχειρέω,recipio
χαλκόσ,Asum
φίλιοσ,amicus
πότεροσ,necne
βλάπτω,noceo
παρέρχομαι,transeo
σκέπτομαι,considero
μισθόσ,reddo
ἐκδίδωμι,inanis
ἀγείρω,congrego
πύργοσ,paries
πατρῷοσ,paternus
νόμισμα,argentum
πλεονεξία,auaritia
ἰσχύσ,fortitudo
τρόποσ,existimatio
σωτηρία,saluator
γενέθλιοσ,Natalis
κηρύσσω,praedico
ἀπόλλυμι,exitium
ἐγχειρίδιοσ,pugio
ἄμαξα,carrus
βοηθέω,opera
καταγέλαστοσ,ridiculus
δεινόσ,immanis
συμβαίνω,euenio
ὥστε,propterea
διάλεκτοσ,uerbum
ὀψέ,nuper
συγγνώμη,dimitto
ὕστεροσ,nuper
στρατεία,stipendium
λαμβάνω,excipio
ἔρωσ,caritas
δίκαιοσ,oportet
δῶρον,praesens
ἡλικία,adulescentia
θαῦμα,mirus
δεύτεροσ,proximus
ὁράω,obseruo
χρίω,ungo
σκέπτομαι,existimo
πηλόσ,lutum
δειλόσ,ignauus
οἰκία,Penates
βούλομαι,deligo
καιρόσ,facultas
ἀγωνίζομαι,contendo
δέλτοσ,tabella
καιρόσ,potestas
μέμφομαι,culpa
τήθη,auius
ἐπιμελέομαι,curo
φράτηρ,pupillus
νότοσ,australis
νότιοσ,meridianus
κακόσ,tribulatio
πεινάω,fames
εὐτυχέω,felix
ὅσιοσ,pietas
πιστεύω,existimo
πυνθάνομαι,certus
σκευοφόροσ,impedimentum
πολεμικόσ,militaris
κράτοσ,tempestas
δίκη,causa
αὐτόματοσ,ultro
βλασφημέω,blasphemo
κομίζω,educo
αὐτίκα,mox
δόλοσ,dolus
προσκυνέω,colo
πλῆθοσ,plebs
οἰκτείρω,misericordia
φέρω,offertor
γῆ,regio
πυνθάνομαι,interrogo
δέω,interrogo
ἐφίστημι,scientia
τάλασ,pauper
ἡδύσ,laeto
δέσποινα,scortum
ἀλκή,uis
διάθεσισ,ingenium
πέπλοσ,tunica
κοιλία,uterus
σῶσ,tueor
τελευταῖοσ,tandem
θεραπεύω,curo
οἴκαδε,sedes
ἀρνίον,agnus
αἰδέομαι,pudeo
ἀπαγγέλλω,nuntio
αὐλών,uallum
βούλομαι,lubet
ἀνδραγαθία,uirtus
ὑποψία,suspicor
ἀναμιμνήσκω,reuoco
ἐπίγραμμα,titulus
δῆμοσ,ager
θυμιατήριον,turibulum
δικάζω,iudico
καίω,ardeo
διπλάσιοσ,duplico
δόγμα,opinio
ταξίαρχοσ,princeps
δούλειοσ,seruitium
ἀπαλλάσσω,trado
χωρέω,iter
ὀρθόσ,integer
ἀνάθημα,sacrificium
γεύω,gusto
οἶκοσ,praedium
ἄρχω,guberno
μνημεῖον,sepulcrum
δρυμόσ,silua
τυγχάνω,obtineo
ὄφρα,donec
ἐπιτιμάω,increpo
τάξισ,dignitas
παύω,finis
χάρυβδισ,Charybdis
ὕστεροσ,denique
τελευτάω,pereo
χρίω,Christus
μηχάνημα,tormentum
μηρόσ,armus
γνώμη,existimo
δόξα,laus
πάθοσ,condicio
ἕωθεν,matutinus
ὀσμή,odor
Λιβύη,Africanus
στρατεύω,Martius
διόπερ,hinc
ξύλον,tignum
δείκνυμι,probo
παρακαλέω,obsecro
θεράπων,puer
ῥώμη,robur
διαφθείρω,interfacio
στρατία,uis
συγγιγνώσκω,ignosco
ἦθοσ,ingenium
κράζω,clamo
ὅσιοσ,impius
ὠφελέω,auxilium
σῖτοσ,esca
κωλύω,ueto
ῥάκοσ,pannus
δίκαιοσ,pulcher
πορφύρα,purpureus
ἕνεκα,ob
δυνατόσ,potens
δύναμισ,robur
αἰχμαλωσία,transmigratio
ἄγω,plumbum
μνήμη,mentio
ἀπώλεια,exitium
ὁμοιότησ,similitudo
εἰσφέρω,confero
ἀφίημι,libero
συλλέγω,congrego
τελέω,transeo
βοῦσ,armentum
ἔκπωμα,calix
κύλιξ,calix
οὔποτε,umquam
δήπου,credo
προσεύχομαι,quaeso
στέργω,diligo
δειρή,ceruix
σκοπέω,cogito
καρδία,mens
ὅστισ,quisquam
διαλύω,dissoluo
ζηλόω,inuidia
φωνή,uerbum
δίκη,aequitas
πάτριοσ,consuetudo
λόχοσ,societas
τείχισμα,munitio
τλήμων,miser
ὑπομένω,patior
φρονέω,superbus
φιλοτιμία,cupiditas
δρόμοσ,gener
πιστεύω,fiducia
δύναμαι,uirtus
ἀναβάλλω,differo
κοιμάω,dormio
αἱρέω,antepono
Ἦλισ,Alis
κόλασισ,supplicium
βασίλεια,Palatium
τρυφή,luxuria
Σκάμανδροσ,Scamander
συνάγω,simul
τρόποσ,fama
στρατόσ,militia
βοῦσ,uacca
πλείων,superus
ἐρείπιον,ruina
πορεύω,agmen
πάσχω,accido
οἰκία,cognatio
δίκτυον,laqueus
περάω,ulter
καλῴδιον,funis
φρονέω,cogitatio
βοηθέω,Opis
ἕζομαι,sedeo
ὀρύσσω,fodio
βαθύσ,penitus
ὑπερβάλλω,uinco
ἀποδίδωμι,reuorto
γνώμη,censeo
πολιορκέω,circumsedeo
ἐλεέω,misereor
διαφθείρω,occaedes
γνώμη,sentio
ξύλινοσ,silua
ἔλλειψισ,uitium
σφενδόνη,funda
παρακαλέω,rogo
ἀφίημι,ignosco
ἐθέλω,deligo
ἄσμενοσ,laeto
ἀποδείκνυμι,probo
τραπεζίτησ,danista
ψεύδω,dormio
θαρσέω,fiducia
ὅσιοσ,pius
πεζόσ,ager
τοιγάρ,igitur
φύω,cresco
μηδείσ,aliquis
εἴκω,cedo
πού,certus
ἀντίδικοσ,aduersarius
μέδιμνοσ,medimnum
Ἀλκμήνη,Alcmena
ἀσφαλήσ,incolumis
πού,puto
εἷμα,uestis
πρόθυρον,porticus
ἡνία,frenum
μισθόω,merces
καῦμα,aestus
πονηρόσ,improbus
αἰσθάνομαι,perspicio
τίμημα,poena
καρτερέω,fero
μελετάω,studium
ἀμφοτέρωθεν,utrimque
ὕβρισ,arrogantia
δίκαιοσ,mereo
ἔρυμα,castellum
λαμπρόσ,praeclarus
περάω,crux
πάθημα,amor
παρέχω,copia
βοηθέω,iuuo
κέραμοσ,tegula
κέραμοσ,tegulum
ἰάομαι,curo
τετράρχησ,tetrarches
ἀλλότριοσ,exter
ὑπολαμβάνω,concipio
σφόδρα,uehemens
τρέφω,sustineo
καταλαμβάνω,comprehendo
ἁπλόοσ,simplex
θηρίον,iumentum
φόρμιγξ,cithara
ἐπιτροπή,tutela
χρεία,utor
ἠνεμόεισ,uentosus
ἐπιδείκνυμι,doceo
χαρίζομαι,gratia
σφαγή,caedes
τραῦμα,saucius
κενόσ,uacuus
θερμότησ,calor
ξύλινοσ,lignum
αἴσθησισ,sanus
δωροδοκία,ambitus
ἐκχέω,effundo
μικρόσ,breuis
στόλοσ,expeditio
ἁμαρτία,error
ἐπιτιμάω,reprehendo
ἐπιορκία,periurium
μεγαλοπρέπεια,magnificentia
λαμπάσ,lucerna
νεότησ,iuuentus
βάθοσ,profundum
κάτειμι,descendo
μακάριοσ,beo
ἐπιχειρέω,impetus
πλῆθοσ,numero
ἔλεοσ,misero
μειράκιον,adulescentia
τάχα,cieo
ἐνδύω,induo
ἐκφεύγω,fugio
στέργω,amor
κατεσθίω,deuoro
ἰκτῖνοσ,miluus
ὀλιγάκισ,rarus
ἐπιμέλεια,curo
ἀδίκημα,maleficium
ἀποδίδωμι,stipendium
λείπω,reliquus
πλάγιοσ,latus
κρύφα,clam
ψῦχοσ,frigidus
αἰών,aeternus
διδάσκω,certus
ἔσχατοσ,denique
ἀξιόω,cupiditas
γιγνώσκω,statuo
ἰδέα,cogitatio
ἰσχυρόσ,firmus
πάντωσ,certus
ἀπορία,egestas
πορνεία,fornicatio
κοράσιον,puella
ἄρκυσ,rete
στρατόσ,hospes
πλέω,nauigatio
φαγεῖν,uesco
ζωή,anima
κινέω,motus
Κίλιξ,Cilices
σημεῖον,argumentum
ἀμπελών,uineus
οἴχομαι,abeo
παραβαίνω,uiolo
συμβαίνω,fors
θεόσ,Hercules
γνώμη,existimatio
Σάμοσ,Samius
πίπτω,incido
δεῖ,dexter
λίθινοσ,saxum
ἀπαγορεύω,prohibeo
ἥδομαι,delecto
σέβομαι,adoro
Ἄτλασ,Atlas
θρησκεία,adoro
σκῦλον,praeda
ἔξεστι,sino
κομπάζω,glorior
εὐδαιμονέω,felix
ἀλλότριοσ,externus
κυνέω,osculum
τριακόσιοι,centum
τάξισ,postis
τίνω,ultio
δέω,obsecro
σάκκοσ,Cilicium
ὁτιοῦν,quisquam
ἑσπέρα,occasus
βουλεύω,iudico
δέοσ,terror
πονηρία,malitia
εὔποροσ,diues
πολεμέω,gero
σχεδόν,iuxta
ὄισ,grex
εἶδοσ,gener
ἐφέστιοσ,focus
ῥώμη,fortitudo
ἐξαιτέω,postulo
ἅμα,continuus
Ἴδη,Idas
ἔδαφοσ,pauimentum
νόμιμοσ,consuetudo
δάμαρ,coniunx
μαντικόσ,diuinatio
ὑπολαμβάνω,puto
μιμνήσκω,reuoco
προσαυδάω,sermo
ὑγιαίνω,ualeo
ὥστε,ideo
ὕστεροσ,extremus
δήπου,scilicet
διαφέρω,dissentio
μάντισ,hariolus
ὀργίζω,furor
διαφέρω,disto
κόρυσ,gubernaculum
φαῦλοσ,turpis
δύναμισ,fortitudo
τριήραρχοσ,princeps
στρατεύω,expeditio
ταφή,funus
ἡλικία,iuuentus
καίω,succendo
δηλόω,certus
ἧσσα,uinco
νομίζω,teneo
ἀξιόω,peto
κρίνω,statuo
ὄκνοσ,dubitatio
προσφέρω,offertor
θερμόσ,calor
ἀπάγω,duco
ἀνίκητοσ,inuictus
ἡδύσ,libet
θυμόσ,libido
ὠφέλιμοσ,utilis
ὀπίσω,tergum
χείρων,inferus
ξένιοσ,hospes
κτῆμα,possideo
ἐναντίοσ,oppono
ἀξίωμα,grauitas
ἀξιόω,cupio
πλεῖστοσ,superus
δόσισ,donum
παρέχω,commeatus
συνήθεια,familiaritas
δόσισ,munus
δήμαρχοσ,tribunicius
ἄπαισ,orbus
δαίτησ,conuiuium
τοίνυν,idcirco
βοῦσ,bubulus
γείτων,finitimus
ἀκολασία,nequitia
διατελέω,permaneo
κατάσκοποσ,speculator
ἀνδράποδον,mancipium
τάχοσ,celeriter
κόμη,come
ἐπίτροποσ,uilicus
σέβω,adoro
δρόμοσ,genu
ἑκατοστόσ,centum
ἀπέχω,tempero
μυκτήρ,naris
εὐθύσ,rego
λῃστήριον,latro
σώζω,retineo
δέω,desidero
παρακαλέω,peto
περισσόσ,impar
διασῴζω,saluus
κορυφή,summus
ἐπιβουλή,insidiae
δύναμαι,imperium
χαλεπαίνω,irascor
καταγελάω,derideo
ἀπορία,uix
γράφω,censeo
πίστισ,fidelitas
δεινόσ,lepidus
ὀμφαλόσ,umbilicus
μικρόσ,modicus
ὑποκρίνομαι,simulo
δίκαιοσ,dignus
βουλεύω,concilium
κοινωνόσ,socius
αἰών,sempiternus
χρῆσισ,utor
πάρειμι,donum
ὄλλυμι,amitto
ἄκων,imprudens
ἄφνω,repentinus
οἰκέω,incolo
περιτομή,circumcisio
ἐπιτρέπω,sino
θαυμάζω,admiratio
ὁμονοέω,concordia
διαφέρω,supero
φυγή,exsul
ἀποστέλλω,dimitto
πλατύσ,latitudo
διαφέρω,uinco
πειράζω,conor
διάμετροσ,diametros
κῶασ,uellus
ἡγέομαι,iudico
ξύλον,materia
εὐχαριστέω,confiteor
φυλακή,uinculum
γενειάσ,barba
εἷμα,uestimentum
ἐλεύθεροσ,ingenuus
ξένοσ,exter
ἰάλλω,extendo
δίδωμι,stipendium
τέλοσ,nouissimus
ἐγχειρίδιοσ,sica
θαρσέω,conforto
πύλη,ostium
συνήγοροσ,patronus
βάθοσ,alo
κλῆροσ,aratio
ἐπάγω,affero
ἁμαρτάνω,culpa
μεταβάλλω,commuto
πίπτω,ruina
πόντοσ,alo
πόνοσ,laboro
ἐπαυρέω,postridie
κρείσσων,ualidus
θεατόσ,spectator
φαίνω,probo
μήποτε,umquam
ἐναντίοσ,praesens
κελεύω,praesum
ἀθρόοσ,simul
μήτε,siue
χίλιοσ,centum
ἐπερωτάω,peto
ἀριθμόσ,numero
ἄποροσ,miser
ἐπιχειρέω,oppugno
λοχαγόσ,princeps
ἀξιόω,interrogo
ἀποδίδωμι,libero
χωρίον,castellum
ἀπαγορεύω,ueto
αἰσχρόσ,pudor
ὁδόσ,modus
ἐντόσ,interior
καῦμα,ardor
παραμυθέομαι,consolo
τάχοσ,cieo
δέρμα,abscondo
ψαλμόσ,psalmus
θέσισ,dignitas
ἀνάθημα,oblatio
ἀποτρέπω,deterreo
θρίξ,come
συμμαχία,opera
κινδυνεύω,discrimen
διασῴζω,seruo
ἱμάσ,lora
λάθρῃ,clam
ἱερόσ,delubrum
τύμβοσ,tumulus
φίλτατοσ,carus
βούλομαι,obsecro
ἡγέομαι,teneo
τοίνυν,propter
νόοσ,sensus
βουλεύω,insidiae
μάχομαι,acies
ἥρωσ,bellator
ὄφελοσ,utor
ἀποστερέω,priuo
ἀσθένεια,imbecillitas
αἰθήρ,caelus
ἀπορία,paupertas
βοηθέω,sustineo
πρόθυρον,uestibulum
ἕξισ,mos
μέλω,curo
στρατεύω,agmen
ζηλόω,inuideo
χρήστησ,creditor
γέλωσ,rideo
Αἰθίοψ,Aethiopia
Σιδών,sido
δέχομαι,fateor
ἑταίρα,era
γέρων,natus
βιόω,habito
βροντή,fulmen
νομίζω,iudico
φυλακή,custos
ξενικόσ,exter
μεταβολή,mutatio
ἥκιστοσ,magnus
σιγάω,sileo
ἀγγέλλω,nuntius
σώφρων,pudicus
σώφρων,castus
ἀποδείκνυμι,constituo
ξένοσ,externus
παραλείπω,praetereo
ἠριγένεια,lux
δόγμα,iudicium
λῃστήριον,furtum
ὄνοσ,asina
ὑγιεινόσ,ualetudo
ἄσμενοσ,libet
οὔτε,siue
ὑάκινθοσ,Hyacinthus
φαγεῖν,compes
ἄαπτοσ,inuictus
ἄμαχοσ,inuictus
ἄναξ,dux
ὄνειδοσ,exprobro
θρασύσ,audacter
ἀνδράποδον,seruio
ἕκαστοσ,alter
ἀπέρχομαι,discedo
φιάλη,calix
νεότησ,iuuenis
ἐπάγω,adduco
ναυμαχία,pugna
